Rank,ISO3,Country,EU,Sink_wo_OS,,Sink_w_OS,,OverseaGain,
,,,,Mean,Std,Mean,Std,Mean,Std
,,,,MtCO2,MtCO2,MtCO2,,,
1,EU,,,201.0664198,8.238653646,548.6895026,23.64107295,347.6230828,22.15908202
2,USA,,,248.5011387,9.932799832,429.0920084,20.50083222,180.5908697,13.17170652
3,AUS,,,194.26738,27.75248286,254.1800748,27.75248286,59.91269477,3.857117483
4,FRA,,,9.832042654,1.404577522,252.6925658,1.404577522,242.8605232,19.85031657
5,GBR,,,20.90847386,2.986924837,230.3407369,2.986924837,209.432263,9.194748937
6,RUS,,,222.9273355,0.862218273,222.9273355,30.99653825,0,0
7,IDN,,,170.2111407,24.31587724,170.2111407,24.31587724,0,0
8,CAN,,,162.9919106,23.28455866,162.9919106,23.28455866,0,0
9,NZL,,,116.0370931,16.57672759,125.1009526,16.57672759,9.06385944,1.294837063
10,JPN,,,114.9612021,16.42302887,117.0470956,16.42302887,2.085893501,0.297984786
11,KIR,,,97.24950733,4.253701301,97.24950733,8.431292271,0,0
12,CHL,,,70.33966125,10.04852304,90.97062458,10.04852304,20.63096333,2.947280476
13,BRA,,,90.6111077,12.94444396,90.6111077,12.94444396,0,0
14,MEX,,,90.0966887,12.87095553,90.0966887,12.87095553,0,0
15,DNK,,,2.965816668,0.423688095,74.68794893,0.423688095,71.72213226,9.231233903
16,PNG,,,67.94388277,9.706268967,67.94388277,9.706268967,0,0
17,IND,,,65.69703551,2.683138801,65.69703551,7.219284941,0,0
18,NOR,,,26.3943104,3.770615771,57.17251379,3.770615771,30.77820339,3.427054042
19,MHL,,,56.58138696,8.083055279,56.58138696,8.083055279,0,0
20,PHL,,,55.72273663,7.960390948,55.72273663,7.960390948,0,0
21,COK,,,55.67987995,7.954268565,55.67987995,7.954268565,0,0
22,PRT,,,48.87178633,3.878831097,48.87178633,4.473587793,0,0
23,SLB,,,45.38220288,6.483171839,45.38220288,6.483171839,0,0
24,ZAF,,,43.75208757,1.917955964,43.75208757,4.737905079,0,0
25,SYC,,,37.92470193,5.417814562,37.92470193,5.417814562,0,0
26,CHN,,,36.8195376,5.259933944,36.8195376,5.259933944,0,0
27,FJI,,,36.28576158,5.183680225,36.28576158,5.183680225,0,0
28,MUS,,,36.13397794,5.161996848,36.13397794,5.161996848,0,0
29,MDG,,,33.81928067,4.83132581,33.81928067,4.83132581,0,0
30,NCL,,,33.24390869,4.749129813,33.24390869,4.749129813,0,0
31,ECU,,,7.207031254,1.029575893,30.99497718,1.029575893,23.78794593,3.39827799
32,ARG,,,30.32257285,4.331796121,30.32257285,4.331796121,0,0
33,ESP,,,28.48516809,1.800837668,28.48516809,2.896373903,0,0
34,MDV,,,26.02965357,3.718521938,26.02965357,3.718521938,0,0
35,PER,,,24.61784209,3.516834585,24.61784209,3.516834585,0,0
36,ISL,,,22.86191719,3.265988169,22.86191719,3.265988169,0,0
37,CPV,,,22.67135396,3.238764851,22.67135396,3.238764851,0,0
38,SOM,,,22.10311974,3.157588534,22.10311974,3.157588534,0,0
39,VNM,,,21.23121285,3.033030408,21.23121285,3.033030408,0,0
40,COL,,,20.32761824,2.903945463,20.32761824,2.903945463,0,0
41,TON,,,18.83032389,2.690046269,18.83032389,2.690046269,0,0
42,VUT,,,17.62452052,2.517788646,17.62452052,2.517788646,0,0
43,PLW,,,17.38103844,2.483005492,17.38103844,2.483005492,0,0
44,CRI,,,16.93765233,2.419664619,16.93765233,2.419664619,0,0
45,MOZ,,,16.00920102,2.287028717,16.00920102,2.287028717,0,0
46,MAR,,,7.928639676,1.132662811,15.95930571,1.132662811,8.030666031,1.147238004
47,NAM,,,15.89425483,2.270607832,15.89425483,2.270607832,0,0
48,OMN,,,15.73230169,2.24747167,15.73230169,2.24747167,0,0
49,ITA,,,15.17223212,2.167461731,15.17223212,2.167461731,0,0
50,LKA,,,15.08383159,2.154833085,15.08383159,2.154833085,0,0
51,YEM,,,14.90950725,2.129929608,14.90950725,2.129929608,0,0
52,MYS,,,14.44124517,2.063035025,14.44124517,2.063035025,0,0
53,MMR,,,14.06394541,2.009135059,14.06394541,2.009135059,0,0
54,AGO,,,14.01833122,2.002618745,14.01833122,2.002618745,0,0
55,GRC,,,13.65161751,1.950231072,13.65161751,1.950231072,0,0
56,VEN,,,13.39194033,1.913134333,13.39194033,1.913134333,0,0
57,KOR,,,12.16799595,1.738285135,12.16799595,1.738285135,0,0
58,IRL,,,12.0715483,1.7245069,12.0715483,1.7245069,0,0
59,LBY,,,10.30363031,1.471947187,10.30363031,1.471947187,0,0
60,DOM,,,10.2851557,1.469307958,10.2851557,1.469307958,0,0
61,TWN,,,10.04933965,1.43561995,10.04933965,1.43561995,0,0
62,CUB,,,9.958546714,1.422649531,9.958546714,1.422649531,0,0
63,PAN,,,9.365170064,1.337881438,9.365170064,1.337881438,0,0
64,NIU,,,8.994176413,1.284882345,8.994176413,1.284882345,0,0
65,NRU,,,8.74303033,1.249004333,8.74303033,1.249004333,0,0
66,GNQ,,,8.598054185,1.228293455,8.598054185,1.228293455,0,0
67,THA,,,8.444062218,1.206294603,8.444062218,1.206294603,0,0
68,JAM,,,7.698041936,1.099720277,7.698041936,1.099720277,0,0
69,TUR,,,7.410822597,1.058688942,7.410822597,1.058688942,0,0
70,LBR,,,7.11794585,1.016849407,7.11794585,1.016849407,0,0
71,EGY,,,6.879095739,0.982727963,6.879095739,0.982727963,0,0
72,TZA,,,6.82965256,0.975664651,6.82965256,0.975664651,0,0
73,GHA,,,6.43104763,0.91872109,6.43104763,0.91872109,0,0
74,PAK,,,6.343526149,0.906218021,6.343526149,0.906218021,0,0
75,SAU,,,6.338842231,0.90554889,6.338842231,0.90554889,0,0
76,SEN,,,6.278148557,0.896878365,6.278148557,0.896878365,0,0
77,NIC,,,6.044549321,0.863507046,6.044549321,0.863507046,0,0
78,HND,,,5.954874609,0.850696373,5.954874609,0.850696373,0,0
79,GAB,,,5.703761543,0.814823078,5.703761543,0.814823078,0,0
80,URY,,,5.21617446,0.74516778,5.21617446,0.74516778,0,0
81,NGA,,,5.061851838,0.723121691,5.061851838,0.723121691,0,0
82,MRT,,,4.89625926,0.699465609,4.89625926,0.699465609,0,0
83,CIV,,,4.855816483,0.693688069,4.855816483,0.693688069,0,0
84,STP,,,4.675320589,0.667902941,4.675320589,0.667902941,0,0
85,COM,,,4.649785785,0.664255112,4.649785785,0.664255112,0,0
86,KEN,,,4.637767778,0.662538254,4.637767778,0.662538254,0,0
87,SLE,,,4.539678356,0.648525479,4.539678356,0.648525479,0,0
88,IRN,,,4.447312601,0.635330372,4.447312601,0.635330372,0,0
89,SWE,,,4.403933468,0.629133353,4.403933468,0.629133353,0,0
90,NLD,,,1.817488027,0.259641147,4.079711953,0.259641147,2.262223926,0.171666893
91,GUY,,,3.919688859,0.559955551,3.919688859,0.559955551,0,0
92,UKR,,,3.851904873,0.550272125,3.851904873,0.550272125,0,0
93,SUR,,,3.768841758,0.538405965,3.768841758,0.538405965,0,0
94,DZA,,,3.708723066,0.529817581,3.708723066,0.529817581,0,0
95,WSM,,,3.688649982,0.526949997,3.688649982,0.526949997,0,0
96,PRK,,,3.233991409,0.461998773,3.233991409,0.461998773,0,0
97,BGD,,,3.173765241,0.453395034,3.173765241,0.453395034,0,0
98,ATG,,,3.153971824,0.450567403,3.153971824,0.450567403,0,0
99,GTM,,,3.128362455,0.446908922,3.128362455,0.446908922,0,0
100,GNB,,,3.018364025,0.431194861,3.018364025,0.431194861,0,0
101,HTI,,,2.925857381,0.417979626,2.925857381,0.417979626,0,0
102,GIN,,,2.888294488,0.412613498,2.888294488,0.412613498,0,0
103,TUN,,,2.819976714,0.402853816,2.819976714,0.402853816,0,0
104,CYP,,,2.783347669,0.397621096,2.783347669,0.397621096,0,0
105,SLV,,,2.688518369,0.384074053,2.688518369,0.384074053,0,0
106,SDN,,,2.334024794,0.333432113,2.334024794,0.333432113,0,0
107,FIN,,,2.294711695,0.327815956,2.294711695,0.327815956,0,0
108,ERI,,,2.208198297,0.3154569,2.208198297,0.3154569,0,0
109,TTO,,,2.164813459,0.309259066,2.164813459,0.309259066,0,0
110,#NV,,,#NV,#NV,#NV,#NV,#NV,#NV
111,ARE,,,1.635128246,0.233589749,1.635128246,0.233589749,0,0
112,DEU,,,1.604768947,0.229252707,1.604768947,0.229252707,0,0
113,HRV,,,1.569224971,0.224174996,1.569224971,0.224174996,0,0
114,MLT,,,1.495945386,0.213706484,1.495945386,0.213706484,0,0
115,KHM,,,1.376702181,0.19667174,1.376702181,0.19667174,0,0
116,BRN,,,1.219574861,0.17422498,1.219574861,0.17422498,0,0
117,EST,,,1.030303485,0.147186212,1.030303485,0.147186212,0,0
118,VCT,,,1.024621775,0.146374539,1.024621775,0.146374539,0,0
119,BEN,,,1.004090364,0.143441481,1.004090364,0.143441481,0,0
120,BGR,,,0.982449977,0.140349997,0.982449977,0.140349997,0,0
121,BLZ,,,0.96997075,0.13856725,0.96997075,0.13856725,0,0
122,COG,,,0.955723848,0.136531978,0.955723848,0.136531978,0,0
123,QAT,,,0.890111011,0.127158716,0.890111011,0.127158716,0,0
124,POL,,,0.84737212,0.12105316,0.84737212,0.12105316,0,0
125,ROU,,,0.836953484,0.119564783,0.836953484,0.119564783,0,0
126,LVA,,,0.801678465,0.114525495,0.801678465,0.114525495,0,0
127,ISR,,,0.696175137,0.099453591,0.696175137,0.099453591,0,0
128,GMB,,,0.649007609,0.092715373,0.649007609,0.092715373,0,0
129,GEO,,,0.648851416,0.092693059,0.648851416,0.092693059,0,0
130,LBN,,,0.570660253,0.081522893,0.570660253,0.081522893,0,0
131,TGO,,,0.43655153,0.062364504,0.43655153,0.062364504,0,0
132,LCA,,,0.435732057,0.062247437,0.435732057,0.062247437,0,0
133,CMR,,,0.428092922,0.061156132,0.428092922,0.061156132,0,0
134,COD,,,0.377742367,0.053963195,0.377742367,0.053963195,0,0
135,ALB,,,0.343929278,0.049132754,0.343929278,0.049132754,0,0
136,KWT,,,0.316128967,0.045161281,0.316128967,0.045161281,0,0
137,SYR,,,0.290347594,0.041478228,0.290347594,0.041478228,0,0
138,KNA,,,0.268623486,0.038374784,0.268623486,0.038374784,0,0
139,BHR,,,0.212462876,0.030351839,0.212462876,0.030351839,0,0
140,DJI,,,0.20421204,0.029173149,0.20421204,0.029173149,0,0
141,LTU,,,0.193067736,0.027581105,0.193067736,0.027581105,0,0
142,MNE,,,0.180442367,0.025777481,0.180442367,0.025777481,0,0
143,BEL,,,0.098735169,0.014105024,0.098735169,0.014105024,0,0
144,IRQ,,,0.033571498,0.004795928,0.033571498,0.004795928,0,0
145,PSE,,,0.031669863,0.004524266,0.031669863,0.004524266,0,0
146,SGP,,,0.020188413,0.002884059,0.020188413,0.002884059,0,0
147,MCO,,,0.008131846,0.001161692,0.008131846,0.001161692,0,0
