,,,,,,Outbound_Inbound,Outbound_inbound,
ISO3,Country,EU,,CSCC-DJO,CSCC-Tol,Transfer_T_wealth_DJO,Transfer_T_wealth_Tol,EEZ
,,,,USD(2020)/tCO2,USD(2020)/tCO2,m USD(2020) (10^6),m USD(2020) (10^6),
HighSeas,,,,0,0,1461540.77,175531.4596,
EU29,,,,45.56437317,0.362439296,-342748.6665,12284.72597,19.40837625
ALB,ALB,NA,Albania,0.030069526,0.007807309,-230.3215312,-70.06571267,0.012165549
DZA,DZA,NA,Algeria,0.330147802,0.102155242,-2544.139154,-939.8625401,0.131185839
USA,USA,NA,United States,88.96720661,0.191029526,-815208.9596,9925.476035,15.17794509
AGO,AGO,NA,Angola,0.443907254,0.062661765,-1368.067407,-234.0013098,0.495859763
GBR,GBR,NA,United Kingdom,9.353347362,0.040275619,-43606.35419,6304.916075,8.147667605
ATG,ATG,NA,Antigua and Barbuda,0,9.67E-05,716.8301209,90.99685243,0.111563045
ARG,ARG,NA,Argentina,0.763786393,0.060438781,-944.1671837,264.3337971,1.072577295
AUS,AUS,NA,Australia,4.692270305,0.014985436,9630.737548,7259.670608,8.990918366
BHR,BHR,NA,Bahrain,0,0.001326295,48.28825285,-7.410043974,0.007515288
BGD,BGD,NA,Bangladesh,0.225386301,1.366317328,-1590.954401,-13924.75678,0.112263183
BLZ,BLZ,NA,Belize,0.004653265,0.000707809,172.7147587,21.02859011,0.034310037
BEN,BEN,NA,Benin,0.070241119,0.087034543,-492.4094932,-863.6195076,0.035516924
BRA,BRA,NA,Brazil,3.242610884,0.356275941,-12672.63304,-1012.34502,3.205117761
BRN,BRN,NA,Brunei,0.03071388,0.000342523,-37.91663655,32.05607968,0.043139094
KHM,KHM,NA,Cambodia,0.024700644,0.118511372,59.48601509,-1175.679012,0.048697039
CMR,CMR,NA,Cameroon,0.076680682,0.131545517,-689.3861168,-1337.066019,0.015142605
CAN,CAN,NA,Canada,8.915315767,0.022876166,-54419.44354,4519.126496,5.765388825
CPV,CPV,NA,Cape Verde,0.002075774,0.001455943,5131.416518,646.2952873,0.801936552
CHL,CHL,NA,Chile,0.453801936,0.02337769,16020.02618,2413.41038,3.217834678
CHN,CHN,NA,China,12.12300335,3.729835787,-116004.0251,-37191.25366,1.302389486
COL,COL,NA,Colombia,0.666053134,0.108448643,-2213.140852,-519.7215587,0.719033372
COM,COM,NA,Comoros,0.004079639,0.0058013,1014.942703,76.0988286,0.164473334
COG,COG,NA,Congo [Republic],0.047956704,0.016195616,-274.7818891,-138.2794518,0.033806092
COK,COK,NA,Cook Islands,0,0,12654.84199,1623.957873,1.969522024
CRI,CRI,NA,Costa Rica,0.093034886,0.009044329,2895.101446,401.2155332,0.599122687
CUB,CUB,NA,Cuba,0.091008324,0.02140585,1329.691388,70.84380675,0.352256095
COD,COD,NA,Congo [DRC],0.184300235,0.970817135,-1804.920238,-9948.789926,0.013361593
DJI,DJI,NA,Djibouti,0.003496891,0.00525313,10.53771493,-47.9368735,0.007223437
DOM,DOM,NA,Dominican Republic,0.138941049,0.020644227,912.1711949,88.18331718,0.363808986
ECU,ECU,NA,Ecuador,0.13799578,0.040474664,5628.766949,488.7609969,1.096361742
EGY,EGY,NA,Egypt,0.299090455,0.341775188,-1504.957939,-3305.704487,0.243329019
SLV,SLV,NA,El Salvador,0.042749907,0.017210467,172.4626877,-98.152367,0.095098914
GNQ,GNQ,NA,Equatorial Guinea,0.060556277,0.000813487,1332.894273,242.4248886,0.304132428
ERI,ERI,NA,Eritrea,0.019350278,0.110900236,303.3577181,-1073.343449,0.078108918
FJI,FJI,NA,Fiji,0.00272498,0.0021072,8219.018905,1036.691358,1.283508632
GAB,GAB,NA,Gabon,0.044802893,0.002707017,836.7007722,138.5839298,0.201754817
GMB,GMB,NA,Gambia,0.004956641,0.017433214,96.65433412,-159.9218883,0.022956852
GEO,GEO,NA,Georgia,0.014796934,0.015918487,-4.334699497,-144.3865624,0.022951327
GHA,GHA,NA,Ghana,0.090901981,0.205155403,529.0575292,-1917.162546,0.227480554
GTM,GTM,NA,Guatemala,0.131560257,0.049446676,-638.6933276,-416.0416004,0.110657185
GNB,GNB,NA,Guinea-Bissau,0.005037746,0.016997372,634.3261323,-86.34591159,0.106766294
GIN,GIN,NA,Guinea,0.020813597,0.14659395,442.9165086,-1419.696737,0.102165443
GUY,GUY,NA,Guyana,0.002195735,0.003893907,868.3346894,74.37317362,0.138648171
HTI,HTI,NA,Haiti,0.017556077,0.101746305,484.8732985,-958.5002167,0.103494127
HND,HND,NA,Honduras,0.047828767,0.034921093,862.7303426,-184.5827615,0.210637248
IND,IND,NA,India,3.983578947,6.967538074,-25936.80663,-69565.24864,2.323851244
IDN,IDN,NA,Indonesia,0.461671778,1.037242901,33948.95695,-5676.908841,6.020749155
IRN,IRN,NA,Iran,0.693536614,0.200413879,-6104.352102,-1926.37587,0.157311404
IRQ,IRQ,NA,Iraq,0.362686737,0.112103374,-3713.245695,-1149.111792,0.001187499
ISR,ISR,NA,Israel,1.38957363,0.006608917,-14097.68811,-47.49757398,0.024625273
CIV,CIV,NA,Côte d'Ivoire,0.053777427,0.122450454,551.9095185,-1114.619084,0.171761101
JAM,JAM,NA,Jamaica,0.017420032,0.005530567,1570.88416,167.7816913,0.27229698
JPN,JPN,NA,Japan,10.92015107,0.082842286,-85429.72049,2563.896842,4.140217844
URY,URY,NA,Uruguay,0.041727373,0.005082279,757.4350657,99.99469053,0.18450777
KOR,KOR,NA,South Korea,3.172991919,0.040460517,-29786.83431,-60.20109755,0.430409261
STP,STP,NA,Sao Tome and Principe,0.000631981,0.001093319,1056.116431,125.1436983,0.165376557
PER,PER,NA,Peru,0.386735181,0.073832581,1627.51371,-39.45989358,0.870788195
SEN,SEN,NA,Senegal,0.074818999,0.092539601,659.3053864,-766.2739669,0.222072171
KEN,KEN,NA,Kenya,0.184735173,0.372209076,-841.1699808,-3683.30234,0.16404823
KIR,KIR,NA,Kiribati,0,0.000521696,22102.72633,2831.024318,3.43993282
KWT,KWT,NA,Kuwait,0.606714437,0.002586683,-6152.555418,-17.31708471,0.011182189
LBN,LBN,NA,Lebanon,0.081485447,0.006712946,-706.2766618,-52.22559091,0.020185531
LBR,LBR,NA,Liberia,0.017322499,0.062571644,1440.04138,-434.3331909,0.251777682
LBY,LBY,NA,Libya,0.17672071,0.008521874,528.7809801,213.0877963,0.364462474
MDG,MDG,NA,Madagascar,0.060492809,0.311975947,7065.789009,-2214.251409,1.19626368
MYS,MYS,NA,Malaysia,0.527815821,0.04901018,-2132.782906,-81.61227673,0.510819176
MDV,MDV,NA,Maldives,0,0.000694062,5915.981737,752.0596547,0.920727128
MHL,MHL,NA,Marshall Islands,0,0.000156977,12859.73519,1648.640747,2.001410345
MRT,MRT,NA,Mauritania,0.011667961,0.02624309,993.1107264,-126.4289425,0.173191653
MUS,MUS,NA,Mauritius,0.017440403,0.002147369,8033.553278,1031.85234,1.278139705
MEX,MEX,NA,Mexico,3.923149495,0.172543521,-19771.33116,857.599095,3.18692161
MCO,MCO,NA,Monaco,0,1.40E-05,1.848194165,0.093277667,0.000287642
MNE,MNE,NA,Montenegro,0.009609971,0.001222356,-57.57993396,-7.277621932,0.006382651
MAR,MAR,NA,Morocco,0.179397507,0.103032017,-38.46522813,-825.7795804,0.564516376
MOZ,MOZ,NA,Mozambique,0.188330057,0.27547883,1706.432159,-2359.268487,0.566281285
MMR,MMR,NA,Myanmar,0.042731442,0,2758.042617,410.1886516,0.497473239
NAM,NAM,NA,Namibia,0.037381761,0.005060408,3228.916119,411.6556659,0.562215381
NRU,NRU,NA,Nauru,0,0,1987.103195,254.9989862,0.309260559
NCL,NCL,NA,New Caledonia,0.020783951,0,7342.400422,969.590942,1.175911485
NZL,NZL,NA,New Zealand,0.383081977,0.003261245,24502.64761,3615.233239,4.425100799
NIC,NIC,NA,Nicaragua,0.011597131,0.030287399,1254.819073,-134.4293259,0.213809243
NGA,NGA,NA,Nigeria,0.989321392,0.964819071,-8999.195717,-9750.637983,0.179049033
NIU,NIU,NA,Niue,0,0,2044.183311,262.3239061,0.318144158
PRK,PRK,NA,Palestine,0,0,735.0168556,94.32250599,0.114393517
OMN,OMN,NA,Oman,0.16280489,0.003020103,1905.366679,427.8640478,0.556486736
RUS,RUS,NA,Russia,8.259201516,0.441891035,-34066.20019,1968.444131,7.885438999
QAT,QAT,NA,Qatar,0.846174016,0.001264346,-8478.765329,12.98977735,0.031485219
UKR,UKR,NA,Ukraine,0.192261979,0.154906127,-1096.998769,-1476.868384,0.1362505
ARE,ARE,NA,United Arab Emirates,1.206424,0.009425575,-12005.31554,-49.00875125,0.057838147
SDN,SDN,NA,Sudan,0.216636656,0.21153153,-1692.045031,-2102.070169,0.082559683
VEN,VEN,NA,Venezuela,0.489847771,0.05261017,-1981.745566,-149.1492866,0.473702915
PAK,PAK,NA,Pakistan,0.600147375,1.277324605,-4715.284572,-12919.31347,0.224384723
PLW,PLW,NA,Palau,0,2.74E-05,3950.337093,506.6535941,0.614806247
PSE,PSE,NA,Palestinian Territories,0,0.019906911,7.197880425,-203.3052945,0.001120234
PAN,PAN,NA,Panama,0.09335421,0.00646192,1170.7627,206.8501641,0.331267034
PNG,PNG,NA,Papua New Guinea,0.032230024,0.042623319,15111.53242,1544.368297,2.403327263
PHL,PHL,NA,Philippines,0.401954793,0.448750803,8540.84778,-2978.616405,1.97103796
KNA,KNA,NA,Saint Kitts and Nevis,0,5.85E-05,61.05235446,7.234227904,0.009501814
LCA,LCA,NA,Saint Lucia,0,0.000299009,99.03254703,9.640954442,0.015412818
VCT,VCT,NA,Saint Vincent and the Grenadines,0.000996471,0.000191897,222.6515462,27.91537958,0.036243166
WSM,WSM,NA,Samoa,0.000776022,0.000594183,830.3896275,101.4872225,0.130475809
SAU,SAU,NA,Saudi Arabia,2.042108482,0.029169344,-19509.71652,-114.375629,0.224219043
SYC,SYC,NA,Seychelles,0,9.76E-05,8619.470999,1105.109102,1.341481622
SLE,SLE,NA,Sierra Leone,0.02416228,0.066220714,783.8858176,-546.9674154,0.160578588
SGP,SGP,NA,Singapore,0,0.003619561,4.588393103,-36.54498085,0.000714109
SLB,SLB,NA,Solomon Islands,0.003358461,0.003264837,10279.94582,1290.121481,1.605270128
SOM,SOM,NA,Somalia,0.002498981,0,4997.927305,644.6589926,0.781836835
ZAF,ZAF,NA,South Africa,2.13848216,0.18021767,-11995.20546,-572.8169174,1.5476093
LKA,LKA,NA,Sri Lanka,0.069651442,0.085482831,2713.66319,-437.0508378,0.533548897
SUR,SUR,NA,Suriname,0.004875497,0.00112655,806.5581684,98.36443053,0.133312372
SYR,SYR,NA,Syria,0.11350629,0.092675825,-1098.493951,-942.3115586,0.010270244
TZA,TZA,NA,Tanzania,0.226516693,0.48618808,-771.6465703,-4788.707284,0.241580103
THA,THA,NA,Thailand,0.362646144,0.176724266,-1801.305159,-1566.770298,0.298685387
TGO,TGO,NA,Togo,0.030811332,0.072674257,-216.8808198,-732.8472902,0.015441805
TON,TON,NA,Tonga,0,0.000306559,4279.728577,546.0596625,0.666070718
TTO,TTO,NA,Trinidad and Tobago,0.030717172,0.001313967,176.8820361,49.65864328,0.076574299
TUN,TUN,NA,Tunisia,0.11345608,0.024605265,-523.0484175,-170.1829704,0.09974889
TUR,TUR,NA,Turkey,3.067685254,0.105836695,-29787.6756,-869.6559719,0.262137388
VUT,VUT,NA,Vanuatu,0.002481583,0.000856489,3980.21629,505.2493933,0.623418753
VNM,VNM,NA,Vietnam,0.149720753,0.544405056,3289.38397,-4965.931366,0.750995536
YEM,YEM,NA,Yemen,0.117194126,0.153409684,2186.293113,-1139.010346,0.527382655
TLS,TLS,NA,Timor-Leste,0,0.008931398,486.0066767,-29.26122511,0.0756391
AFG,,,Afghanistan,0.267910528,0.336531094,-2748.547691,-3452.539803,0
ARM,,,Armenia,0.011783271,0.010326274,-120.8869316,-105.9393078,0
AUT,,,Austria,1.351872029,0.005251347,-13869.12552,-53.87462044,0
AZE,,,Azerbaijan,0.075299735,0.024177035,-772.5150398,-248.0370422,0
BDI,,,Burundi,0.022937526,0.199336833,-235.3206689,-2045.036438,0
BFA,,,Burkina Faso,0.174569152,0.15798208,-1790.93984,-1620.76976,0
BIH,,,Bosnia and Herzegovina,0.030176731,0.009227234,-309.589122,-94.66404154,0
BLR,,,Belarus,0.13405353,0.018440583,-1375.281975,-189.1856285,0
BOL,,,Bolivia,0.050760313,0.054019671,-520.7601989,-554.1986093,0
BTN,,,Bhutan,0.007727678,0.002873493,-79.27978985,-29.47973444,0
BWA,,,Botswana,0.068782663,0.003505361,-705.6550943,-35.96219517,0
CAF,,,Central African Republic,0.027333645,0.0452673,-280.4213269,-464.4062817,0
CHE,,,Switzerland,1.788383583,0.004375663,-18347.38486,-44.89080493,0
CZE,,,Czech Republic,0.556070999,0.010141641,-5704.843596,-104.0451189,0
