,,Pmin,Std,,Pmax,Std,,PnTmin,Std,PnTmax,Std,,Cost_woT_min,std,Cost_woT_max,Std,,Cost_wT_min,Std,,Cost_wT_max,Std
,0,9.649616853,5.108189764,,19.04486285,6.992549148,,26.46188765,17.99863147,42.07619545,20.76262568,,141.1136749,37.32727737,262.3398316,42.99143158,,24.12156529,13.60847116,,57.11916616,23.21275008
0.003702695,0.01,9.749985711,5.131492223,,19.18411233,7.011994362,,26.7139309,18.04314849,42.38181931,20.79798659,,143.0741092,37.55382477,264.9722001,43.21932764,,24.47331751,13.71865975,,57.71311284,23.35679933
0.007405389,0.02,9.84819088,5.154216088,,19.32118241,7.031161327,,26.96940319,18.08749218,42.6922339,20.83331754,,145.0950421,37.78129801,267.723551,43.44813112,,24.81914906,13.82735404,,58.29966989,23.49960341
0.011108084,0.03,9.945665535,5.176509811,,19.45605747,7.049781103,,27.22657027,18.13157537,43.00033598,20.86824175,,147.1512435,38.00968803,270.4717489,43.67783122,,25.16388331,13.93540372,,58.87880298,23.64068724
0.014810779,0.04,10.04212537,5.198422359,,19.5897731,7.068163517,,27.48162129,18.17351277,43.30724346,20.9013821,,149.1559694,38.23897863,273.215293,43.90841588,,25.50656079,14.04274667,,59.45477891,23.78113413
0.018513474,0.05,10.13860697,5.220114011,,19.72350046,7.086340238,,27.73885633,18.21557435,43.61649717,20.93462593,,151.1749785,38.46916396,276.0117118,44.13987952,,25.85074961,14.15008773,,60.03252931,23.92165301
0.022216168,0.06,10.23559325,5.241756084,,19.8551319,7.104125353,,28.00102846,18.25741134,43.92070009,20.96735597,,153.2690931,38.70023482,278.7105072,44.3721725,,26.1982381,14.25789459,,60.60341665,24.06057742
0.025918863,0.07,10.33308423,5.263348634,,19.98698025,7.12183487,,28.26813766,18.29917629,44.22771425,20.99979537,,155.4458887,38.93218158,281.4666764,44.60531881,,26.54904348,14.36616575,,61.17707381,24.19981014
0.029621558,0.08,10.43106581,5.284908689,,20.11916561,7.139485475,,28.54003836,18.34059604,44.5378171,21.03194815,,157.710082,39.16499462,284.2878025,44.83931167,,26.90315172,14.47491297,,61.75399267,24.33945658
0.033324253,0.09,10.52943901,5.30638049,,20.2514809,7.157050163,,28.81607657,18.38234811,44.85016175,21.06385384,,160.0544891,39.3986656,287.1595949,45.07414055,,27.26018477,14.58401253,,62.33331391,24.47934162
0.037026947,0.1,10.62809767,5.327944626,,20.38262059,7.174358012,,29.09535483,18.42079139,45.15853356,21.09467791,,162.468036,39.63316279,289.9541511,45.30978316,,27.6199707,14.69369813,,62.90935358,24.61844635
0.040729642,0.11,10.72686787,5.349390346,,20.51329164,7.191505344,,29.37702315,18.45954647,45.46522687,21.12410416,,164.9344316,39.86850319,292.7103103,45.5462211,,27.9816999,14.80376547,,63.48520512,24.75729588
0.044432337,0.12,10.82586971,5.370525108,,20.64440109,7.20861233,,29.66180869,18.49959247,45.77470463,21.15306603,,167.4680458,40.10466903,295.5168894,45.78345664,,28.34560364,14.91356604,,64.06473734,24.89662838
0.048135031,0.13,10.92444222,5.391416705,,20.77594894,7.225679086,,29.94430744,18.53808924,46.08696683,21.18157826,,169.9620813,40.34162366,298.3749759,46.02147803,,28.70943945,15.02308546,,64.64776416,25.03652451
0.051837726,0.14,11.02341168,5.412257567,,20.90792081,7.242728349,,30.23003804,18.57594563,46.40192187,21.20932783,,172.5263653,40.57937471,301.2838945,46.26027295,,29.07626787,15.13299769,,65.2344146,25.17693955
0.055540421,0.15,11.12187152,5.433305096,,21.04026586,7.259726363,,30.5132514,18.60967152,46.71935213,21.23674778,,175.0495633,40.81784847,304.239963,46.49982968,,29.44317412,15.24320526,,65.82392606,25.31800111
0.059243116,0.16,11.21973069,5.454411906,,21.17273234,7.276622948,,30.79408215,18.64465133,47.03814234,21.26365924,,177.5258855,41.05720469,307.221113,46.74013435,,29.80960233,15.35392525,,66.41566121,25.45931881
0.06294581,0.17,11.31709643,5.47467581,,21.30511309,7.293414049,,31.07379833,18.68035384,47.35733412,21.28989029,,179.9710221,41.29727433,310.2076137,46.98117316,,30.17504362,15.46322793,,67.00884679,25.60068883
0.066648505,0.18,11.41474183,5.494665385,,21.43754518,7.310118129,,31.35558763,18.71464764,47.67749969,21.31541563,,182.4495794,41.5380126,313.2104386,47.22293333,,30.54282016,15.57236797,,67.60407054,25.74222317
0.0703512,0.19,11.51041092,5.514118607,,21.56727996,7.326392261,,31.63718953,18.74835812,47.99837959,21.34046889,,184.917979,41.77946845,316.2247377,47.46540128,,30.90455576,15.6800129,,68.18883439,25.88183343
0.074053895,0.2,11.60462749,5.533189762,,21.69525739,7.342359872,,31.91810947,18.78056342,48.32046652,21.36505527,,187.364412,42.02162511,319.259442,47.70856502,,31.26219125,15.78663262,,68.76721262,26.0202716
0.077756589,0.21,11.69922883,5.55223556,,21.82363124,7.35829196,,32.20140952,18.81242956,48.64502917,21.38918272,,189.8499328,42.26447658,322.3402343,47.95241297,,31.62264708,15.89363298,,69.34899944,26.15916041
0.081459284,0.22,11.79409598,5.571161564,,21.95240151,7.374188633,,32.48646014,18.84399901,48.97206754,21.41286196,,192.3617063,42.5080072,325.4677059,48.19693167,,31.98541718,16.00083897,,69.93421314,26.29849586
